treatment,family,sizeBin,Month,Year,timeCorrBites,timeCorrBiomassBites
Control,Acanthuridae,12.5,September,2013,159,9495.396571
External,Acanthuridae,12.5,September,2013,151,10444.0196
Full,Acanthuridae,12.5,September,2013,0,0
Partial,Acanthuridae,12.5,September,2013,357,26199.27812
Control,Scaridae,12.5,September,2013,20,555.5205818
External,Scaridae,12.5,September,2013,25,1277.117891
Partial,Scaridae,12.5,September,2013,9,269.36383060000003
Control,Acanthuridae,17.5,September,2013,19,2041.982914
External,Acanthuridae,17.5,September,2013,0,0
Full,Acanthuridae,17.5,September,2013,0,0
Partial,Acanthuridae,17.5,September,2013,0,0
Control,Scaridae,17.5,September,2013,3,331.6577412
Full,Scaridae,17.5,September,2013,0,0
Partial,Scaridae,17.5,September,2013,8,803.4753999
Control,Acanthuridae,22.5,September,2013,0,0
External,Acanthuridae,22.5,September,2013,0,0
Full,Acanthuridae,22.5,September,2013,0,0
Partial,Acanthuridae,22.5,September,2013,0,0
Control,Scaridae,22.5,September,2013,23,4774.467048
External,Scaridae,22.5,September,2013,0,0
Full,Scaridae,22.5,September,2013,0,0
Partial,Scaridae,22.5,September,2013,0,0
Control,Acanthuridae,27.5,September,2013,0,0
External,Acanthuridae,27.5,September,2013,0,0
Full,Acanthuridae,27.5,September,2013,0,0
Partial,Acanthuridae,27.5,September,2013,0,0
Control,Scaridae,27.5,September,2013,0,0
External,Scaridae,27.5,September,2013,2,677.0953498
Full,Scaridae,27.5,September,2013,0,0
Partial,Scaridae,27.5,September,2013,0,0
Control,Acanthuridae,32.5,September,2013,0,0
External,Acanthuridae,32.5,September,2013,0,0
Full,Acanthuridae,32.5,September,2013,0,0
Partial,Acanthuridae,32.5,September,2013,0,0
Control,Scaridae,32.5,September,2013,0,0
External,Scaridae,32.5,September,2013,0,0
Full,Scaridae,32.5,September,2013,0,0
Partial,Scaridae,32.5,September,2013,0,0
Control,Acanthuridae,35+,September,2013,0,0
External,Acanthuridae,35+,September,2013,0,0
Full,Acanthuridae,35+,September,2013,0,0
Partial,Acanthuridae,35+,September,2013,0,0
Control,Scaridae,35+,September,2013,0,0
External,Scaridae,35+,September,2013,0,0
Full,Scaridae,35+,September,2013,0,0
Partial,Scaridae,35+,September,2013,0,0
Control,Acanthuridae,7.5,September,2013,195,1457.969437
External,Acanthuridae,7.5,September,2013,118,2480.662291
Full,Acanthuridae,7.5,September,2013,138,923.2131798
Partial,Acanthuridae,7.5,September,2013,177.3673469,1832.686409
Control,Scaridae,7.5,September,2013,236,1469.00994
External,Scaridae,7.5,September,2013,17,96.99768888
Full,Scaridae,7.5,September,2013,169.34,951.2190399
Partial,Scaridae,7.5,September,2013,375.8163265,2004.21898
Control,Acanthuridae,12.5,November,2013,241.3636364,18228.87923
Full,Acanthuridae,12.5,November,2013,0,0
Partial,Acanthuridae,12.5,November,2013,47.16184971,2044.826866
Control,Scaridae,12.5,November,2013,33.45454546,1043.416037
Full,Scaridae,12.5,November,2013,5.185185185,90.40738926
Partial,Scaridae,12.5,November,2013,98.42774566,3657.510179
Control,Acanthuridae,17.5,November,2013,49,5550.951191
Full,Acanthuridae,17.5,November,2013,0,0
Partial,Acanthuridae,17.5,November,2013,14.56647399,1319.933982
Control,Scaridae,17.5,November,2013,22.36363637,2537.944014
Full,Scaridae,17.5,November,2013,0,0
Partial,Scaridae,17.5,November,2013,7.936416184,723.2589874
Control,Acanthuridae,22.5,November,2013,0,0
Full,Acanthuridae,22.5,November,2013,0,0
Partial,Acanthuridae,22.5,November,2013,0,0
Control,Scaridae,22.5,November,2013,30.36363637,5980.956902
Full,Scaridae,22.5,November,2013,0,0
Partial,Scaridae,22.5,November,2013,0,0
Control,Acanthuridae,27.5,November,2013,0,0
Full,Acanthuridae,27.5,November,2013,0,0
Partial,Acanthuridae,27.5,November,2013,0,0
Control,Scaridae,27.5,November,2013,27,9793.625439
Full,Scaridae,27.5,November,2013,0,0
Partial,Scaridae,27.5,November,2013,0,0
Control,Acanthuridae,32.5,November,2013,0,0
Full,Acanthuridae,32.5,November,2013,0,0
Partial,Acanthuridae,32.5,November,2013,0,0
Control,Scaridae,32.5,November,2013,9,5794.899374
Full,Scaridae,32.5,November,2013,0,0
Partial,Scaridae,32.5,November,2013,0,0
Control,Acanthuridae,35+,November,2013,0,0
Full,Acanthuridae,35+,November,2013,0,0
Partial,Acanthuridae,35+,November,2013,0,0
Control,Scaridae,35+,November,2013,0,0
Full,Scaridae,35+,November,2013,0,0
Partial,Scaridae,35+,November,2013,0,0
Control,Acanthuridae,7.5,November,2013,138.2727273,1408.788824
Full,Acanthuridae,7.5,November,2013,171.4351852,825.8665137
Partial,Acanthuridae,7.5,November,2013,111.6531792,976.3025869
Control,Scaridae,7.5,November,2013,131.8181818,779.9412999
Full,Scaridae,7.5,November,2013,239.6111111,1226.231134
Partial,Scaridae,7.5,November,2013,215.9710983,1561.043082
Control,Acanthuridae,12.5,February,2014,22,848.6088944
External,Acanthuridae,12.5,February,2014,95,4875.918394
Partial,Acanthuridae,12.5,February,2014,0,0
Control,Scaridae,12.5,February,2014,31,1194.109317
External,Scaridae,12.5,February,2014,11,352.2961747
Full,Scaridae,12.5,February,2014,9,334.9011679
Partial,Scaridae,12.5,February,2014,77,3207.428309
Control,Acanthuridae,17.5,February,2014,0,0
External,Acanthuridae,17.5,February,2014,0,0
Partial,Acanthuridae,17.5,February,2014,0,0
Control,Scaridae,17.5,February,2014,0,0
External,Scaridae,17.5,February,2014,4,357.3505563
Full,Scaridae,17.5,February,2014,0,0
Partial,Scaridae,17.5,February,2014,17,1071.2646
Control,Acanthuridae,22.5,February,2014,0,0
External,Acanthuridae,22.5,February,2014,0,0
Partial,Acanthuridae,22.5,February,2014,0,0
Control,Scaridae,22.5,February,2014,7,1439.675661
External,Scaridae,22.5,February,2014,4,822.6718063
Full,Scaridae,22.5,February,2014,0,0
Partial,Scaridae,22.5,February,2014,0,0
Control,Acanthuridae,27.5,February,2014,0,0
External,Acanthuridae,27.5,February,2014,0,0
Partial,Acanthuridae,27.5,February,2014,0,0
Control,Scaridae,27.5,February,2014,7,2393.68095
External,Scaridae,27.5,February,2014,0,0
Full,Scaridae,27.5,February,2014,0,0
Partial,Scaridae,27.5,February,2014,0,0
Control,Acanthuridae,32.5,February,2014,0,0
External,Acanthuridae,32.5,February,2014,0,0
Partial,Acanthuridae,32.5,February,2014,0,0
Control,Scaridae,32.5,February,2014,0,0
External,Scaridae,32.5,February,2014,0,0
Full,Scaridae,32.5,February,2014,0,0
Partial,Scaridae,32.5,February,2014,0,0
Control,Acanthuridae,35+,February,2014,0,0
External,Acanthuridae,35+,February,2014,0,0
Partial,Acanthuridae,35+,February,2014,0,0
Control,Scaridae,35+,February,2014,3,3248.898721
External,Scaridae,35+,February,2014,0,0
Full,Scaridae,35+,February,2014,0,0
Partial,Scaridae,35+,February,2014,0,0
Control,Acanthuridae,7.5,February,2014,32,278.0717549
External,Acanthuridae,7.5,February,2014,0,0
Partial,Acanthuridae,7.5,February,2014,100,1335.365024
Control,Scaridae,7.5,February,2014,64,487.8369078
External,Scaridae,7.5,February,2014,56,419.4591658
Full,Scaridae,7.5,February,2014,189.24,1121.371851
Partial,Scaridae,7.5,February,2014,96,617.3206443
Control,Acanthuridae,12.5,July,2014,91.12937063,5379.128285
External,Acanthuridae,12.5,July,2014,0,0
Full,Acanthuridae,12.5,July,2014,0,0
Partial,Acanthuridae,12.5,July,2014,67.28571429,3028.388754
Control,Scaridae,12.5,July,2014,73.5990676,2028.351496
External,Scaridae,12.5,July,2014,2.271293375,90.54425118
Full,Scaridae,12.5,July,2014,0,0
Partial,Scaridae,12.5,July,2014,97.28571429,3126.886883
Control,Acanthuridae,17.5,July,2014,188.4114219,25745.21392
External,Acanthuridae,17.5,July,2014,0,0
Full,Acanthuridae,17.5,July,2014,0,0
Partial,Acanthuridae,17.5,July,2014,0,0
Control,Scaridae,17.5,July,2014,13.88694639,1482.192602
External,Scaridae,17.5,July,2014,3.028391168,339.8473508
Full,Scaridae,17.5,July,2014,0,0
Partial,Scaridae,17.5,July,2014,6,465.3205536
Control,Acanthuridae,22.5,July,2014,83.75407925,24556.00077
External,Acanthuridae,22.5,July,2014,0,0
Full,Acanthuridae,22.5,July,2014,0,0
Partial,Acanthuridae,22.5,July,2014,0,0
Control,Scaridae,22.5,July,2014,6.666666666,1435.19631
External,Scaridae,22.5,July,2014,0,0
Full,Scaridae,22.5,July,2014,0,0
Partial,Scaridae,22.5,July,2014,0,0
Control,Acanthuridae,27.5,July,2014,1,425.582197
External,Acanthuridae,27.5,July,2014,0,0
Full,Acanthuridae,27.5,July,2014,0,0
Partial,Acanthuridae,27.5,July,2014,0,0
Control,Scaridae,27.5,July,2014,3.344988346,1213.475175
External,Scaridae,27.5,July,2014,0,0
Full,Scaridae,27.5,July,2014,0,0
Partial,Scaridae,27.5,July,2014,0,0
Control,Acanthuridae,32.5,July,2014,0,0
External,Acanthuridae,32.5,July,2014,0,0
Full,Acanthuridae,32.5,July,2014,0,0
Partial,Acanthuridae,32.5,July,2014,0,0
Control,Scaridae,32.5,July,2014,7.335664336,4803.060951
External,Scaridae,32.5,July,2014,0,0
Full,Scaridae,32.5,July,2014,0,0
Partial,Scaridae,32.5,July,2014,0,0
Control,Acanthuridae,35+,July,2014,0,0
External,Acanthuridae,35+,July,2014,0,0
Full,Acanthuridae,35+,July,2014,0,0
Partial,Acanthuridae,35+,July,2014,0,0
Control,Scaridae,35+,July,2014,0.666666667,721.9774933
External,Scaridae,35+,July,2014,0,0
Full,Scaridae,35+,July,2014,0,0
Partial,Scaridae,35+,July,2014,0,0
Control,Acanthuridae,7.5,July,2014,8.72027972,80.86749088
External,Acanthuridae,7.5,July,2014,0,0
Full,Acanthuridae,7.5,July,2014,75.1423002,344.9714975
Partial,Acanthuridae,7.5,July,2014,180,1751.723176
Control,Scaridae,7.5,July,2014,91.48251748,672.0855439
External,Scaridae,7.5,July,2014,79.49526814,724.1471171
Full,Scaridae,7.5,July,2014,157.2631579,1045.743037
Partial,Scaridae,7.5,July,2014,171.4285714,981.4282752
External,Acanthuridae,12.5,July,2013,31.63987138,1734.618482
Partial,Acanthuridae,12.5,July,2013,117,5961.939485
External,Scaridae,12.5,July,2013,29.32475884,911.7299954
Partial,Scaridae,12.5,July,2013,4,84.27940057
External,Acanthuridae,17.5,July,2013,12.34726688,1731.703462
External,Scaridae,17.5,July,2013,21.60771704,1779.962242
Partial,Scaridae,17.5,July,2013,0,0
External,Acanthuridae,22.5,July,2013,0,0
Partial,Acanthuridae,22.5,July,2013,0,0
External,Scaridae,22.5,July,2013,0.77170418,179.4407662
Partial,Scaridae,22.5,July,2013,0,0
External,Acanthuridae,27.5,July,2013,0,0
Partial,Acanthuridae,27.5,July,2013,0,0
External,Scaridae,27.5,July,2013,0,0
Partial,Scaridae,27.5,July,2013,0,0
External,Acanthuridae,32.5,July,2013,0,0
Partial,Acanthuridae,32.5,July,2013,0,0
External,Scaridae,32.5,July,2013,0.77170418,536.1072063
Partial,Scaridae,32.5,July,2013,0,0
External,Acanthuridae,35+,July,2013,0,0
Partial,Acanthuridae,35+,July,2013,0,0
External,Scaridae,35+,July,2013,1.54340836,1399.628854
Partial,Scaridae,35+,July,2013,0,0
External,Acanthuridae,7.5,July,2013,182.8938907,1089.852655
Partial,Acanthuridae,7.5,July,2013,147,523.4311758
External,Scaridae,7.5,July,2013,26.23794212,195.8229675
Partial,Scaridae,7.5,July,2013,99,493.2370582
Control,Acanthuridae,12.5,July,2013,43.23664525,2406.085516
External,Acanthuridae,12.5,July,2013,51.28205129,2910.544628
Full,Acanthuridae,12.5,July,2013,0,0
Partial,Acanthuridae,12.5,July,2013,12.2195612,520.8276691
Control,Scaridae,12.5,July,2013,23.82851817,732.876735
External,Scaridae,12.5,July,2013,5.128205128,209.0268345
Full,Scaridae,12.5,July,2013,3.354453969,74.35977445
Partial,Scaridae,12.5,July,2013,24.39926063,764.254601
Control,Acanthuridae,17.5,July,2013,100.6431487,15875.63108
External,Acanthuridae,17.5,July,2013,20.51282051,2603.985616
Full,Acanthuridae,17.5,July,2013,0,0
Partial,Acanthuridae,17.5,July,2013,246.0049827,33326.69455
Control,Scaridae,17.5,July,2013,6.987274122,670.1707727
External,Scaridae,17.5,July,2013,0,0
Full,Scaridae,17.5,July,2013,0,0
Partial,Scaridae,17.5,July,2013,17.39130435,1499.515948
Control,Acanthuridae,22.5,July,2013,30.19571295,8292.089613
Full,Acanthuridae,22.5,July,2013,0,0
Partial,Acanthuridae,22.5,July,2013,85.56521739,25256.3455
Control,Scaridae,22.5,July,2013,30.27054362,6801.689162
External,Scaridae,22.5,July,2013,1.923076923,307.9064879
Full,Scaridae,22.5,July,2013,0,0
Partial,Scaridae,22.5,July,2013,4.869565218,953.5289384
Control,Acanthuridae,27.5,July,2013,20.68965517,8836.563598
Full,Acanthuridae,27.5,July,2013,0,0
Partial,Acanthuridae,27.5,July,2013,0,0
Control,Scaridae,27.5,July,2013,5.640793504,2413.09931
External,Scaridae,27.5,July,2013,2.564102564,868.0709615
Full,Scaridae,27.5,July,2013,0,0
Partial,Scaridae,27.5,July,2013,8.347826087,2532.62497
Control,Acanthuridae,32.5,July,2013,0,0
Full,Acanthuridae,32.5,July,2013,0,0
Partial,Acanthuridae,32.5,July,2013,0,0
Control,Scaridae,32.5,July,2013,7.828518174,5407.658982
External,Scaridae,32.5,July,2013,1.282051282,1066.518001
Full,Scaridae,32.5,July,2013,0,0
Partial,Scaridae,32.5,July,2013,0,0
Control,Acanthuridae,35+,July,2013,0,0
Full,Acanthuridae,35+,July,2013,0,0
Partial,Acanthuridae,35+,July,2013,0,0
Control,Scaridae,35+,July,2013,0.55917987,664.9107417
External,Scaridae,35+,July,2013,0,0
Full,Scaridae,35+,July,2013,0,0
Partial,Scaridae,35+,July,2013,0,0
Control,Acanthuridae,7.5,July,2013,128.4393886,1496.482871
Full,Acanthuridae,7.5,July,2013,43.64685054,294.1799324
Partial,Acanthuridae,7.5,July,2013,29.00650968,350.7399474
Control,Scaridae,7.5,July,2013,113.8501714,679.6581303
External,Scaridae,7.5,July,2013,48.07692308,280.0963367
Full,Scaridae,7.5,July,2013,104.6646888,906.5816829
Partial,Scaridae,7.5,July,2013,85.10359238,481.2912879
Control,Acanthuridae,12.5,September,2014,16,1087.692712
External,Acanthuridae,12.5,September,2014,16,607.9545341
Full,Acanthuridae,12.5,September,2014,0,0
Partial,Acanthuridae,12.5,September,2014,0,0
Control,Scaridae,12.5,September,2014,9,234.0453705
External,Scaridae,12.5,September,2014,7,265.7854478
Full,Scaridae,12.5,September,2014,0,0
External,Acanthuridae,17.5,September,2014,0,0
Full,Acanthuridae,17.5,September,2014,0,0
Partial,Acanthuridae,17.5,September,2014,0,0
Control,Scaridae,17.5,September,2014,0,0
External,Scaridae,17.5,September,2014,2,130.1528363
Full,Scaridae,17.5,September,2014,0,0
Partial,Scaridae,17.5,September,2014,0,0
Control,Acanthuridae,22.5,September,2014,0,0
External,Acanthuridae,22.5,September,2014,0,0
Full,Acanthuridae,22.5,September,2014,0,0
Partial,Acanthuridae,22.5,September,2014,0,0
Control,Scaridae,22.5,September,2014,0,0
External,Scaridae,22.5,September,2014,0,0
Full,Scaridae,22.5,September,2014,0,0
Partial,Scaridae,22.5,September,2014,0,0
Control,Acanthuridae,27.5,September,2014,0,0
External,Acanthuridae,27.5,September,2014,0,0
Full,Acanthuridae,27.5,September,2014,0,0
Partial,Acanthuridae,27.5,September,2014,0,0
Control,Scaridae,27.5,September,2014,0,0
External,Scaridae,27.5,September,2014,0,0
Full,Scaridae,27.5,September,2014,0,0
Partial,Scaridae,27.5,September,2014,0,0
Control,Acanthuridae,32.5,September,2014,0,0
External,Acanthuridae,32.5,September,2014,0,0
Full,Acanthuridae,32.5,September,2014,0,0
Partial,Acanthuridae,32.5,September,2014,0,0
Control,Scaridae,32.5,September,2014,0,0
External,Scaridae,32.5,September,2014,0,0
Full,Scaridae,32.5,September,2014,0,0
Partial,Scaridae,32.5,September,2014,0,0
Control,Acanthuridae,35+,September,2014,0,0
External,Acanthuridae,35+,September,2014,0,0
Full,Acanthuridae,35+,September,2014,0,0
Partial,Acanthuridae,35+,September,2014,0,0
Control,Scaridae,35+,September,2014,0,0
External,Scaridae,35+,September,2014,0,0
Full,Scaridae,35+,September,2014,0,0
Partial,Scaridae,35+,September,2014,0,0
Control,Acanthuridae,7.5,September,2014,56,497.9594261
External,Acanthuridae,7.5,September,2014,5,33.32863589
Full,Acanthuridae,7.5,September,2014,0,0
Partial,Acanthuridae,7.5,September,2014,0,0
Control,Scaridae,7.5,September,2014,29,199.7582508
External,Scaridae,7.5,September,2014,40,240.5653299
Full,Scaridae,7.5,September,2014,59.16831683,319.7004527
Partial,Scaridae,7.5,September,2014,84,768.0324525
